sset No,Description,Status,ราคาเช่า,
554,B.43 นครปฐมธารทิพย์,,ใช้งาน,,1
523,B.73,,ใช้งาน,,1
514,B.77,,ใช้งาน,,1
510,B209,,ใช้งาน,,1
551,C.06 นครปฐมธารทิพย์,300L,ใช้งาน,300,1
527,C.10,300L,ใช้งาน,300,1
552,C.111 นครปฐมธารทิพย์,300L,ใช้งาน,300,1
358,C.116,300L,ใช้งาน,300,1
348,C.121,300L,ใช้งาน,300,1
361,C.123,300L,ใช้งาน,300,1
329,C.132,300L,ใช้งาน,300,1
333,C.145,300L,ใช้งาน,300,1
524,C.147,300L,ใช้งาน,300,1
521,C.160,300L,ใช้งาน,300,1
513,C.167,300L,ใช้งาน,300,1
505,C.178,300L,ใช้งาน,300,1
518,C.181,300L,ใช้งาน,300,1
509,C.182,300L,ใช้งาน,300,1
508,C.187,300L,ใช้งาน,300,1
507,C.193,300L,ใช้งาน,300,1
328,C.20,300L,ใช้งาน,300,1
515,C.206,300L,ใช้งาน,300,1
325,C.207,300L,ใช้งาน,300,1
526,C.224,300L,ใช้งาน,300,1
323,C.236,300L,ใช้งาน,300,1
546,C.246 นครปฐมธารทิพย์,300L,ใช้งาน,300,1
322,C.252,300L,ใช้งาน,300,1
338,C.261,300L,ใช้งาน,300,1
339,C.265,300L,ใช้งาน,300,1
918,C62-01,300L,ใช้งาน,300,1
916,C62-03,300L,ใช้งาน,300,1
915,C62-04,300L,ใช้งาน,300,1
914,C62-05,300L,ใช้งาน,300,1
912,C62-07,300L,ใช้งาน,300,1
910,C62-09,300L,ใช้งาน,300,1
906,C63-02,300L,ใช้งาน,300,1
905,C63-03,300L,ใช้งาน,300,1
902,C63-06,300L,ใช้งาน,300,1
901,C63-07,300L,ใช้งาน,300,1
900,C63-08,300L,ใช้งาน,300,1
501,C63-10,300L,ใช้งาน,300,1
894,C63-14,300L,ใช้งาน,300,1
893,C63-15,300L,ใช้งาน,300,1
892,C63-16,300L,ใช้งาน,300,1
891,C63-17,300L,ใช้งาน,300,1
889,C63-19,300L,ใช้งาน,300,1
888,C63-20,300L,ใช้งาน,300,1
887,C63-21,300L,ใช้งาน,300,1
886,C63-22,300L,ใช้งาน,300,1
881,C63-27,300L,ใช้งาน,300,1
878,C63-30,300L,ใช้งาน,300,1
877,C63-31,300L,ใช้งาน,300,1
875,C63-33,300L,ใช้งาน,300,1
874,C63-34,300L,ใช้งาน,300,1
873,C63-35,300L,ใช้งาน,300,1
871,C64-02,300L,ใช้งาน,300,1
869,C64-04,300L,ใช้งาน,300,1
868,C64-05,300L,ใช้งาน,300,1
331,C65-03,300L,ใช้งาน,300,1
566,C65-05,300L,ใช้งาน,300,1
488,C65-06,300L,ใช้งาน,300,1
545,C65-10,300L,ใช้งาน,300,1
563,C65-12,300L,ใช้งาน,300,1
562,C65-15,300L,ใช้งาน,300,1
561,C65-16,300L,ใช้งาน,300,1
560,C65-18,300L,ใช้งาน,300,1
559,C65-19,300L,ใช้งาน,300,1
558,C65-20,300L,ใช้งาน,300,1
386,C66-02,300L,ใช้งาน,300,1
385,C66-03,300L,ใช้งาน,300,1
384,C66-04,300L,ใช้งาน,300,1
383,C66-05,300L,ใช้งาน,300,1
382,C66-06,300L,ใช้งาน,300,1
381,C66-07,300L,ใช้งาน,300,1
380,C66-08,300L,ใช้งาน,300,1
379,C66-09,300L,ใช้งาน,300,1
378,C66-10,300L,ใช้งาน,300,1
341,C66-13,300L,ใช้งาน,300,1
221,C67-01,300L,ใช้งาน,300,1
220,C67-02,300L,ใช้งาน,300,1
219,C67-03,300L,ใช้งาน,300,1
218,C67-04,300L,ใช้งาน,300,1
217,C67-05,300L,ใช้งาน,300,1
216,C67-06,300L,ใช้งาน,300,1
215,C67-07,300L,ใช้งาน,300,1
214,C67-08,300L,ใช้งาน,300,1
213,C67-09,300L,ใช้งาน,300,1
212,C67-10,300L,ใช้งาน,300,1
80,D24-002,150L,ใช้งาน,150,1
79,D24-003,150L,ใช้งาน,150,1
78,D24-004,150L,ใช้งาน,150,1
76,D24-006,150L,ใช้งาน,150,1
75,D24-007,150L,ใช้งาน,150,1
74,D24-008,150L,ใช้งาน,150,1
73,D24-009,150L,ใช้งาน,150,1
72,D24-010,150L,ใช้งาน,150,1
71,D24-011,150L,ใช้งาน,150,1
70,D24-012,150L,ใช้งาน,150,1
69,D24-013,150L,ใช้งาน,150,1
68,D24-014,150L,ใช้งาน,150,1
66,D24-016,150L,ใช้งาน,150,1
65,D24-017,150L,ใช้งาน,150,1
61,D24-021,150L,ใช้งาน,150,1
58,D24-024,150L,ใช้งาน,150,1
57,D24-025,150L,ใช้งาน,150,1
56,D24-026,150L,ใช้งาน,150,1
45,D24-037,150L,ใช้งาน,150,1
42,D24-040,150L,ใช้งาน,150,1
34,D24-048,150L,ใช้งาน,150,1
32,D24-050,150L,ใช้งาน,150,1
1635,D62-01,150L,ใช้งาน,150,1
1633,D63-02,150L,ใช้งาน,150,1
1631,D63-04,150L,ใช้งาน,150,1
1622,D65-04,150L,ใช้งาน,150,1
1620,D65-06,150L,ใช้งาน,150,1
1619,D65-07,150L,ใช้งาน,150,1
792,E63-01,500L,ใช้งาน,350,1
790,E63-03,500L,ใช้งาน,350,1
789,E63-04,500L,ใช้งาน,350,1
788,E63-05,500L,ใช้งาน,350,1
786,E63-07,500L,ใช้งาน,350,1
785,E63-08,500L,ใช้งาน,350,1
784,E63-09,500L,ใช้งาน,350,1
781,E63-12,500L,ใช้งาน,350,1
775,E63-18,500L,ใช้งาน,350,1
774,E63-19,500L,ใช้งาน,350,1
772,E63-21,500L,ใช้งาน,350,1
768,E63-25,500L,ใช้งาน,350,1
767,E63-26,500L,ใช้งาน,350,1
764,E63-29,500L,ใช้งาน,350,1
763,E63-30,500L,ใช้งาน,350,1
762,E63-31,500L,ใช้งาน,350,1
761,E63-32,500L,ใช้งาน,350,1
754,E63-39,500L,ใช้งาน,350,1
753,E63-40,500L,ใช้งาน,350,1
751,E63-42,500L,ใช้งาน,350,1
749,E63-44,500L,ใช้งาน,350,1
748,E63-45,500L,ใช้งาน,350,1
746,E63-47,500L,ใช้งาน,350,1
744,E63-49,500L,ใช้งาน,350,1
743,E63-50,500L,ใช้งาน,350,1
742,E63-51,500L,ใช้งาน,350,1
741,E63-52,500L,ใช้งาน,350,1
738,E63-55,500L,ใช้งาน,350,1
737,E63-56,500L,ใช้งาน,350,1
735,E63-58,500L,ใช้งาน,350,1
535,E63-60,500L,ใช้งาน,350,1
732,E63-61,500L,ใช้งาน,350,1
724,E63-69,500L,ใช้งาน,350,1
722,E64-01,500L,ใช้งาน,350,1
721,E64-02,500L,ใช้งาน,350,1
720,E64-03,500L,ใช้งาน,350,1
716,E64-07,500L,ใช้งาน,350,1
714,E64-09,500L,ใช้งาน,350,1
711,E64-12,500L,ใช้งาน,350,1
709,E64-14,500L,ใช้งาน,350,1
708,E64-15,500L,ใช้งาน,350,1
702,E65-01,500L,ใช้งาน,350,1
701,E65-02,500L,ใช้งาน,350,1
700,E65-03,500L,ใช้งาน,350,1
699,E65-04,500L,ใช้งาน,350,1
698,E65-05,500L,ใช้งาน,350,1
697,E65-06,500L,ใช้งาน,350,1
696,E65-07,500L,ใช้งาน,350,1
695,E65-08,500L,ใช้งาน,350,1
694,E65-09,500L,ใช้งาน,350,1
693,E65-10,500L,ใช้งาน,350,1
692,E65-11,500L,ใช้งาน,350,1
688,E65-15,500L,ใช้งาน,350,1
686,E65-17,500L,ใช้งาน,350,1
685,E65-18,500L,ใช้งาน,350,1
683,E65-20,500L,ใช้งาน,350,1
374,E66-04,500L,ใช้งาน,350,1
372,E66-06,500L,ใช้งาน,350,1
371,E66-07,500L,ใช้งาน,350,1
368,E66-10,500L,ใช้งาน,350,1
334,L.101,800L,ใช้งาน,500,1
530,L.107,800L,ใช้งาน,500,1
532,L.114,800L,ใช้งาน,500,1
336,L.116,800L,ใช้งาน,500,1
531,L.117,800L,ใช้งาน,500,1
337,L.128,800L,ใช้งาน,500,1
